Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
12	27095.0	19631.0	0.8938	3826.0	1.0
30	25410.0	18372.0	0.9188	3058.0	1.0
26	21227.0	17056.0	0.9313	3561.0	1.0
8	17443.0	14382.0	0.9625	2718.0	1.0
38	20496.0	17162.0	0.9438	2124.0	1.0
29	28236.0	18955.0	0.8875	3548.0	1.0
8	18219.0	16267.0	0.9437	2308.0	1.0
18	24123.0	19626.0	0.9375	2758.0	1.0
13	19598.0	17493.0	0.975	2869.0	1.0
14	20393.0	16942.0	0.9313	2934.0	1.0
36	24321.0	20049.0	0.9375	3255.0	1.0
28	22073.0	18375.0	0.95	3057.0	1.0
9	23787.0	19387.0	0.9375	2794.0	1.0
38	23402.0	18951.0	0.9375	3674.0	1.0
36	24326.0	17906.0	0.925	1969.0	1.0
23	26305.0	18911.0	0.8875	3736.0	1.0
13	27037.0	21385.0	0.9	4441.0	1.0
33	20086.0	17860.0	0.9438	4113.0	1.0
16	23141.0	17564.0	0.9125	3404.0	1.0
30	19913.0	18781.0	0.9437	3122.0	1.0
14	25370.0	20360.0	0.925	3125.0	1.0
18	21901.0	16880.0	0.9062	2680.0	1.0
12	23919.0	18002.0	0.9188	2741.0	1.0
31	30644.0	22829.0	0.9188	3100.0	1.0
38	21653.0	17107.0	0.925	3605.0	1.0
39	24058.0	19602.0	0.925	3142.0	1.0
21	18975.0	16513.0	0.9563	3237.0	1.0
26	25135.0	16890.0	0.8937	2605.0	1.0
9	25683.0	19672.0	0.9125	3059.0	1.0
19	19928.0	15684.0	0.9313	2454.0	1.0
39	22497.0	18986.0	0.9438	3795.0	1.0
30	20698.0	16932.0	0.9438	2967.0	1.0
29	23371.0	19426.0	0.9375	2708.0	1.0
30	18544.0	15605.0	0.9562	2276.0	1.0
17	33290.0	22442.0	0.9	4157.0	1.0
2	28235.0	20675.0	0.8938	3583.0	1.0
35	24802.0	21489.0	0.9437	2406.0	1.0
22	24084.0	18466.0	0.9313	2224.0	1.0
38	21574.0	18593.0	0.9438	2650.0	1.0
4	22385.0	18048.0	0.9313	2318.0	1.0
13	29786.0	18262.0	0.875	2916.0	1.0
0	27386.0	19971.0	0.9187	2877.0	1.0
5	26124.0	20057.0	0.9188	2628.0	1.0
21	22959.0	17506.0	0.9187	2303.0	1.0
12	19642.0	16561.0	0.9375	3000.0	1.0
24	23467.0	21198.0	0.975	3169.0	1.0
15	21527.0	16592.0	0.925	2792.0	1.0
33	25567.0	19309.0	0.925	2770.0	1.0
38	29419.0	22526.0	0.9313	3289.0	1.0
16	20641.0	17595.0	0.9625	2281.0	1.0
6	24746.0	18540.0	0.8937	3388.0	1.0
30	21865.0	18868.0	0.95	3154.0	1.0
22	23911.0	19821.0	0.9375	3073.0	1.0
38	24389.0	17455.0	0.9188	2567.0	1.0
